period,description,temperature,condition,timestamp
Tonight,Mostly Cloudythen ChanceRain,Low: 41 °F,"Tonight: A 30 percent chance of rain, mainly after 3am.  Mostly cloudy, with a low around 41. South southeast wind around 8 mph. ",2025-03-08T06:47:38.458086
Saturday,Rain Likely,High: 58 °F,"Saturday: Rain likely, mainly before 11am.  Mostly cloudy, with a high near 58. South southwest wind 8 to 13 mph.  Chance of precipitation is 60%. New precipitation amounts of less than a tenth of an inch possible. ",2025-03-08T06:47:38.458086
Saturday Night,Chance Rain,Low: 45 °F,"Saturday Night: A 30 percent chance of rain, mainly after 4am.  Mostly cloudy, with a low around 45. South wind around 9 mph. ",2025-03-08T06:47:38.458086
Sunday,Rain,High: 54 °F,"Sunday: Rain, mainly after 10am.  High near 54. South southwest wind 11 to 15 mph, with gusts as high as 24 mph.  Chance of precipitation is 80%. New precipitation amounts between a tenth and quarter of an inch possible. ",2025-03-08T06:47:38.458086
Sunday Night,Rain thenChance Rain,Low: 38 °F,"Sunday Night: Rain, mainly before 10pm.  Low around 38. South southwest wind 8 to 10 mph.  Chance of precipitation is 90%. New precipitation amounts between a tenth and quarter of an inch possible. ",2025-03-08T06:47:38.458086
Monday,Chance Rain,High: 49 °F,"Monday: A 50 percent chance of rain.  Mostly cloudy, with a high near 49.",2025-03-08T06:47:38.458086
Monday Night,Rain Likely,Low: 38 °F,"Monday Night: Rain likely, mainly after 10pm.  Mostly cloudy, with a low around 38. Chance of precipitation is 60%.",2025-03-08T06:47:38.458086
Tuesday,Rain,High: 49 °F,"Tuesday: Rain.  Mostly cloudy, with a high near 49.",2025-03-08T06:47:38.458086
Tuesday Night,Rain,Low: 40 °F,"Tuesday Night: Rain.  Mostly cloudy, with a low around 40.",2025-03-08T06:47:38.458086
Tonight,Mostly Cloudythen ChanceRain,Low: 41 °F,"Tonight: A 30 percent chance of rain, mainly after 3am.  Mostly cloudy, with a low around 41. South southeast wind around 8 mph. ",2025-03-08T06:48:28.844430
Saturday,Rain Likely,High: 58 °F,"Saturday: Rain likely, mainly before 11am.  Mostly cloudy, with a high near 58. South southwest wind 8 to 13 mph.  Chance of precipitation is 60%. New precipitation amounts of less than a tenth of an inch possible. ",2025-03-08T06:48:28.845456
Saturday Night,Chance Rain,Low: 45 °F,"Saturday Night: A 30 percent chance of rain, mainly after 4am.  Mostly cloudy, with a low around 45. South wind around 9 mph. ",2025-03-08T06:48:28.845456
Sunday,Rain,High: 54 °F,"Sunday: Rain, mainly after 10am.  High near 54. South southwest wind 11 to 15 mph, with gusts as high as 24 mph.  Chance of precipitation is 80%. New precipitation amounts between a tenth and quarter of an inch possible. ",2025-03-08T06:48:28.845456
Sunday Night,Rain thenChance Rain,Low: 38 °F,"Sunday Night: Rain, mainly before 10pm.  Low around 38. South southwest wind 8 to 10 mph.  Chance of precipitation is 90%. New precipitation amounts between a tenth and quarter of an inch possible. ",2025-03-08T06:48:28.845456
Monday,Chance Rain,High: 49 °F,"Monday: A 50 percent chance of rain.  Mostly cloudy, with a high near 49.",2025-03-08T06:48:28.845456
Monday Night,Rain Likely,Low: 38 °F,"Monday Night: Rain likely, mainly after 10pm.  Mostly cloudy, with a low around 38. Chance of precipitation is 60%.",2025-03-08T06:48:28.845456
Tuesday,Rain,High: 49 °F,"Tuesday: Rain.  Mostly cloudy, with a high near 49.",2025-03-08T06:48:28.845456
Tuesday Night,Rain,Low: 40 °F,"Tuesday Night: Rain.  Mostly cloudy, with a low around 40.",2025-03-08T06:48:28.845456
Tonight,Mostly Cloudythen ChanceRain,Low: 41 °F,"Tonight: A 30 percent chance of rain, mainly after 3am.  Mostly cloudy, with a low around 41. South southeast wind around 8 mph. ",2025-03-08T06:49:19.431623
Saturday,Rain Likely,High: 58 °F,"Saturday: Rain likely, mainly before 11am.  Mostly cloudy, with a high near 58. South southwest wind 8 to 13 mph.  Chance of precipitation is 60%. New precipitation amounts of less than a tenth of an inch possible. ",2025-03-08T06:49:19.431623
Saturday Night,Chance Rain,Low: 45 °F,"Saturday Night: A 30 percent chance of rain, mainly after 4am.  Mostly cloudy, with a low around 45. South wind around 9 mph. ",2025-03-08T06:49:19.431623
Sunday,Rain,High: 54 °F,"Sunday: Rain, mainly after 10am.  High near 54. South southwest wind 11 to 15 mph, with gusts as high as 24 mph.  Chance of precipitation is 80%. New precipitation amounts between a tenth and quarter of an inch possible. ",2025-03-08T06:49:19.431623
Sunday Night,Rain thenChance Rain,Low: 38 °F,"Sunday Night: Rain, mainly before 10pm.  Low around 38. South southwest wind 8 to 10 mph.  Chance of precipitation is 90%. New precipitation amounts between a tenth and quarter of an inch possible. ",2025-03-08T06:49:19.431623
Monday,Chance Rain,High: 49 °F,"Monday: A 50 percent chance of rain.  Mostly cloudy, with a high near 49.",2025-03-08T06:49:19.431623
Monday Night,Rain Likely,Low: 38 °F,"Monday Night: Rain likely, mainly after 10pm.  Mostly cloudy, with a low around 38. Chance of precipitation is 60%.",2025-03-08T06:49:19.432673
Tuesday,Rain,High: 49 °F,"Tuesday: Rain.  Mostly cloudy, with a high near 49.",2025-03-08T06:49:19.432673
Tuesday Night,Rain,Low: 40 °F,"Tuesday Night: Rain.  Mostly cloudy, with a low around 40.",2025-03-08T06:49:19.432673
